	&&	||	<=	const	for	do	float	while	long	switch	default	continue	else	record	id	[	]	if	case	==	!	void	#	break	%	double	(	)	*	+	,	-	int	/	boolean	char	short	unsigned	:	;	{	<	!=	}	=	return	>	>=
195	err	err	err	s300	err	err	err	err	err	err	err	err	err	err	s303	err	err	err	err	err	err	err	err	err	err	err	s280	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
196	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s148	err	err	r80	s140	r80	err	r80	err	s119	err	err	err	err	err	err	err	err	err	err	err	err	err	err
197	r84	r84	r84	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r84	err	err	err	err	r84	err	err	r84	r84	r84	err	r84	err	r84	err	err	err	err	err	err	err	r84	r84	err	r84	err	r84	r84
198	err	err	r76	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	r76	err	err	err	err	err	err	err	err	err	r76	r76	r76	err	err	err	err	err	err	err	r76	err	r76	r76	err	r76	err	r76	r76
199	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s255	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
200	err	err	err	s121	err	err	err	err	err	err	err	err	err	err	s134	err	err	err	err	err	err	err	err	err	err	err	s111	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
201	err	err	err	err	err	err	err	r58	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
202	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	s281	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
203	err	err	err	s300	err	err	err	err	err	err	err	err	err	err	s303	err	err	err	err	err	err	err	err	err	err	err	s280	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
204	err	err	err	s131	err	err	err	err	err	err	err	err	err	err	s114	err	err	err	err	err	err	err	err	err	err	err	s135	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
205	err	err	err	s144	err	err	err	err	err	err	err	err	err	err	s120	err	err	err	err	err	err	err	err	err	err	err	s113	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err	err
